Symbol,US Trading Venue,Trading Date,OTC Tier,Caveat Emptor,Security Type,Security Class,Security Name,Country of Domicile,Company Name
AAALY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,AAREAL BANK AG UNSP/ADR,Germany,Aareal Bank AG
AABB,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,A,ASIA BROADBAND INC,USA,"Asia Broadband, Inc."
AABVF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ABERDEEN INTL INC,Canada,Aberdeen International Inc.
AACAF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,AAC TECHS HLDGS INC ORD,China,AAC Technologies Holdings Inc
AACAY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,AAC TECHS HLDGS UNSP/ADR,China,AAC Technologies Holdings Inc
AACEY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,ASIA CMNT HLDGS UNSP/ADR,Taiwan,Asia Cement (China) Holdings Corp
AACS,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,AMER COMMERCE SOLTNS INC,USA,"American Commerce Solutions, Inc."
AACTF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,AURORA SOLAR TECHNOLOGIES,Canada,Aurora Solar Technologies Inc.
AAEH,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,ALL AMER ENERGY CORP,USA,All American Energy Corp.
AAGC,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,ALL AMERICAN GOLD CORP,USA,All American Gold Corp.
AAGH,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,AMERICA GREAT HEALTH,USA,America Great Health
AAGIY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,AIA GROUP LTD S/ADR,Hong Kong,"AIA Group, Ltd."
AAGRY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,ASTRA AGRO LESTR UNSP/ADR,Indonesia,Astra Agro Lestari TBK
AAIGF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,AIA GROUP LTD ORD,Hong Kong,"AIA Group, Ltd."
AAIIQ,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,ALABAMA AIRCRAFT INDUS,USA,"Alabama Aircraft Industries, Inc."
AAIR,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,AVANTAIR INC,USA,"Avantair, Inc."
AAMAF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ATLAS MARA CO NVEST ORD,British Virgin Islands,Atlas Mara Co Nvest Ltd.
AAMTF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ARMADA MERCANTILE LTD,USA,Armada Mercantile Ltd.
AAPH,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,AMER PETRO-HUNTER INC,USA,"American Petro-Hunter, Inc."
AAPJ,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,AAP INC,Japan,"AAP, Inc."
AAPT,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,ALL AMERICAN PET CO INC,USA,"All American Pet Company, Inc."
AASL,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,AMERICA'S SUPPLIERS INC,USA,"America's Suppliers, Inc."
AASP,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,ALL-AMER SPORTPARK INC,USA,"All-American SportPark, Inc."
AAST,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,ALLIED AMERICAN STEEL CRP,USA,Allied American Steel Corp.
AATV,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,ADAPTIVE AD SYSTEMS INC,USA,"Adaptive Ad Systems, Inc."
AAUKF,OTC Link,04/01/2018,OTCQX International Premier,N,Ordinary Shares,,ANGLO AMER PLC ORD.,United Kingdom,Anglo American plc
AAVXF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ABIVAX SA ORD,France,Abivax SA
AAWC,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,ALEXANDRIA ADVANTGE WRNTY,USA,Alexandria Advantage Warranty Company
AAXT,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,AAMAXAN TRANSPORT GRP INC,Canada,"Aamaxan Transport Group, Inc."
ABBAF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ABERDEEN ASIAN INCOME FUN,United Kingdom,Aberdeen Asian Income Fund
ABBB,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,AUBURN BANCORP INC,USA,"Auburn Bancorp, Inc."
ABBY,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,ABBY INC,USA,"Abby, Inc."
ABCAF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ATHABASCA MINERALS INC,Canada,Athabasca Minerals Inc.
ABCCF,OTC Link,04/01/2018,OTCQB,N,Ordinary Shares,,ABCANN GLOBAL CORP ORD,Canada,ABcann Global Corp
ABCE,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,ABCO ENERGY INC,USA,"ABCO Energy, Inc."
ABCFF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,ABACUS MINING & EXPL ORD,Canada,Abacus Mining & Exploration Corp.
ABCP,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,AMBASE CORP,USA,AmBase Corp.
ABCR,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,ABC RECORDS MGMT & DATA,China,ABC Records Management and Data Storage Inc
